ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),EGDA CH3
1.90003,152.32,0.070901,0.009165,0.061736,0.009106
1.90023,152.34,0.070926,0.009180,0.061747,0.009121
1.90043,152.35,0.070952,0.009195,0.061757,0.009136
1.90063,152.37,0.070978,0.009210,0.061767,0.009151
1.90083,152.39,0.071003,0.009226,0.061778,0.009166
1.90103,152.40,0.071029,0.009241,0.061788,0.009182
1.90123,152.42,0.071055,0.009256,0.061798,0.009197
1.90143,152.43,0.071080,0.009272,0.061809,0.009213
1.90163,152.45,0.071106,0.009287,0.061819,0.009228
1.90183,152.47,0.071132,0.009303,0.061830,0.009243
1.90203,152.48,0.071158,0.009318,0.061840,0.009259
1.90223,152.50,0.071184,0.009334,0.061850,0.009275
1.90243,152.51,0.071210,0.009349,0.061861,0.009290
1.90263,152.53,0.071236,0.009365,0.061871,0.009306
1.90283,152.55,0.071262,0.009381,0.061881,0.009321
1.90303,152.56,0.071288,0.009396,0.061892,0.009337
1.90323,152.58,0.071314,0.009412,0.061902,0.009353
1.90343,152.59,0.071340,0.009428,0.061912,0.009369
1.90363,152.61,0.071367,0.009444,0.061923,0.009385
1.90383,152.63,0.071393,0.009460,0.061933,0.009400
1.90403,152.64,0.071419,0.009476,0.061944,0.009416
1.90423,152.66,0.071446,0.009492,0.061954,0.009432
1.90443,152.67,0.071472,0.009508,0.061964,0.009448
1.90463,152.69,0.071498,0.009524,0.061975,0.009464
1.90483,152.71,0.071525,0.009540,0.061985,0.009480
1.90503,152.72,0.071551,0.009556,0.061996,0.009497
1.90523,152.74,0.071578,0.009572,0.062006,0.009513
1.90543,152.75,0.071605,0.009588,0.062016,0.009529
1.90563,152.77,0.071631,0.009604,0.062027,0.009545
1.90583,152.79,0.071658,0.009621,0.062037,0.009561
1.90603,152.80,0.071685,0.009637,0.062048,0.009578
1.90623,152.82,0.071712,0.009653,0.062058,0.009594
1.90643,152.83,0.071738,0.009670,0.062069,0.009611
1.90663,152.85,0.071765,0.009686,0.062079,0.009627
1.90683,152.87,0.071792,0.009703,0.062089,0.009643
1.90703,152.88,0.071819,0.009719,0.062100,0.009660
1.90723,152.90,0.071846,0.009736,0.062110,0.009677
1.90743,152.91,0.071873,0.009753,0.062121,0.009693
1.90763,152.93,0.071900,0.009769,0.062131,0.009710
1.90783,152.95,0.071928,0.009786,0.062142,0.009727
1.90803,152.96,0.071955,0.009803,0.062152,0.009743
1.90823,152.98,0.071982,0.009820,0.062162,0.009760
1.90843,153.00,0.072009,0.009836,0.062173,0.009777
1.90863,153.01,0.072037,0.009853,0.062183,0.009794
1.90883,153.03,0.072064,0.009870,0.062194,0.009811
1.90903,153.04,0.072091,0.009887,0.062204,0.009828
1.90923,153.06,0.072119,0.009904,0.062215,0.009845
1.90943,153.08,0.072146,0.009921,0.062225,0.009862
1.90963,153.09,0.072174,0.009938,0.062236,0.009879
1.90983,153.11,0.072202,0.009956,0.062246,0.009896
1.91003,153.12,0.072229,0.009973,0.062257,0.009913
1.91023,153.14,0.072257,0.009990,0.062267,0.009931
1.91043,153.16,0.072285,0.010007,0.062277,0.009948
1.91063,153.17,0.072313,0.010025,0.062288,0.009965
1.91083,153.19,0.072341,0.010042,0.062298,0.009983
1.91103,153.20,0.072368,0.010060,0.062309,0.010000
1.91123,153.22,0.072396,0.010077,0.062319,0.010017
1.91143,153.24,0.072424,0.010095,0.062330,0.010035
1.91163,153.25,0.072452,0.010112,0.062340,0.010052
1.91183,153.27,0.072481,0.010130,0.062351,0.010070
1.91203,153.28,0.072509,0.010147,0.062361,0.010088
1.91223,153.30,0.072537,0.010165,0.062372,0.010105
1.91243,153.32,0.072565,0.010183,0.062382,0.010123
1.91263,153.33,0.072593,0.010201,0.062393,0.010141
1.91283,153.35,0.072622,0.010218,0.062403,0.010159
1.91303,153.36,0.072650,0.010236,0.062414,0.010177
1.91323,153.38,0.072679,0.010254,0.062424,0.010195
1.91343,153.40,0.072707,0.010272,0.062435,0.010213
1.91363,153.41,0.072736,0.010290,0.062445,0.010231
1.91383,153.43,0.072764,0.010308,0.062456,0.010249
1.91403,153.44,0.072793,0.010326,0.062466,0.010267
1.91423,153.46,0.072822,0.010345,0.062477,0.010285
1.91443,153.48,0.072850,0.010363,0.062487,0.010303
1.91463,153.49,0.072879,0.010381,0.062498,0.010321
1.91483,153.51,0.072908,0.010399,0.062509,0.010340
1.91503,153.52,0.072937,0.010418,0.062519,0.010358
1.91523,153.54,0.072966,0.010436,0.062530,0.010376
1.91543,153.56,0.072995,0.010455,0.062540,0.010395
1.91563,153.57,0.073024,0.010473,0.062551,0.010413
1.91583,153.59,0.073053,0.010492,0.062561,0.010432
1.91603,153.60,0.073082,0.010510,0.062572,0.010451
1.91623,153.62,0.073111,0.010529,0.062582,0.010469
1.91643,153.64,0.073141,0.010548,0.062593,0.010488
1.91663,153.65,0.073170,0.010567,0.062603,0.010507
1.91683,153.67,0.073199,0.010585,0.062614,0.010526
1.91703,153.68,0.073229,0.010604,0.062625,0.010544
1.91723,153.70,0.073258,0.010623,0.062635,0.010563
1.91743,153.72,0.073288,0.010642,0.062646,0.010582
1.91763,153.73,0.073317,0.010661,0.062656,0.010601
1.91783,153.75,0.073347,0.010680,0.062667,0.010620
1.91803,153.76,0.073377,0.010699,0.062677,0.010639
1.91823,153.78,0.073407,0.010719,0.062688,0.010659
1.91843,153.80,0.073436,0.010738,0.062699,0.010678
1.91863,153.81,0.073466,0.010757,0.062709,0.010697
1.91883,153.83,0.073496,0.010776,0.062720,0.010716
1.91903,153.84,0.073526,0.010796,0.062730,0.010736
1.91923,153.86,0.073556,0.010815,0.062741,0.010755
1.91943,153.88,0.073586,0.010835,0.062751,0.010775
1.91963,153.89,0.073616,0.010854,0.062762,0.010794
1.91983,153.91,0.073647,0.010874,0.062773,0.010814
1.92003,153.93,0.073677,0.010894,0.062783,0.010833
1.92023,153.94,0.073707,0.010913,0.062794,0.010853
1.92043,153.96,0.073737,0.010933,0.062804,0.010873
1.92063,153.97,0.073768,0.010953,0.062815,0.010893
1.92083,153.99,0.073798,0.010973,0.062826,0.010913
1.92103,154.01,0.073829,0.010993,0.062836,0.010932
1.92123,154.02,0.073859,0.011013,0.062847,0.010952
1.92143,154.04,0.073890,0.011033,0.062858,0.010972
1.92163,154.05,0.073921,0.011053,0.062868,0.010993
1.92183,154.07,0.073952,0.011073,0.062879,0.011013
1.92203,154.09,0.073982,0.011093,0.062889,0.011033
1.92223,154.10,0.074013,0.011113,0.062900,0.011053
1.92243,154.12,0.074044,0.011134,0.062911,0.011073
1.92263,154.13,0.074075,0.011154,0.062921,0.011094
1.92283,154.15,0.074106,0.011174,0.062932,0.011114
1.92303,154.17,0.074137,0.011195,0.062943,0.011135
1.92323,154.18,0.074169,0.011215,0.062953,0.011155
1.92343,154.20,0.074200,0.011236,0.062964,0.011176
1.92363,154.21,0.074231,0.011257,0.062975,0.011196
1.92383,154.23,0.074262,0.011277,0.062985,0.011217
1.92403,154.25,0.074294,0.011298,0.062996,0.011238
1.92423,154.26,0.074325,0.011319,0.063007,0.011259
1.92443,154.28,0.074357,0.011340,0.063017,0.011279
1.92463,154.29,0.074388,0.011361,0.063028,0.011300
1.92483,154.31,0.074420,0.011382,0.063039,0.011321
1.92503,154.33,0.074452,0.011403,0.063049,0.011342
1.92523,154.34,0.074484,0.011424,0.063060,0.011363
1.92543,154.36,0.074515,0.011445,0.063071,0.011385
1.92563,154.37,0.074547,0.011466,0.063081,0.011406
1.92583,154.39,0.074579,0.011487,0.063092,0.011427
1.92603,154.41,0.074611,0.011509,0.063103,0.011448
1.92623,154.42,0.074643,0.011530,0.063113,0.011470
1.92643,154.44,0.074676,0.011552,0.063124,0.011491
1.92663,154.45,0.074708,0.011573,0.063135,0.011513
1.92683,154.47,0.074740,0.011595,0.063145,0.011534
1.92703,154.49,0.074772,0.011616,0.063156,0.011556
1.92723,154.50,0.074805,0.011638,0.063167,0.011578
1.92743,154.52,0.074837,0.011660,0.063177,0.011599
1.92763,154.53,0.074870,0.011682,0.063188,0.011621
1.92783,154.55,0.074902,0.011704,0.063199,0.011643
1.92803,154.57,0.074935,0.011725,0.063210,0.011665
1.92823,154.58,0.074968,0.011747,0.063220,0.011687
1.92843,154.60,0.075000,0.011770,0.063231,0.011709
1.92863,154.61,0.075033,0.011792,0.063242,0.011731
1.92883,154.63,0.075066,0.011814,0.063252,0.011753
1.92903,154.65,0.075099,0.011836,0.063263,0.011776
1.92923,154.66,0.075132,0.011858,0.063274,0.011798
1.92943,154.68,0.075165,0.011881,0.063285,0.011820
1.92963,154.69,0.075199,0.011903,0.063295,0.011843
1.92983,154.71,0.075232,0.011926,0.063306,0.011865
1.93003,154.73,0.075265,0.011948,0.063317,0.011888
1.93023,154.74,0.075299,0.011971,0.063327,0.011911
1.93043,154.76,0.075332,0.011994,0.063338,0.011933
1.93063,154.77,0.075366,0.012017,0.063349,0.011956
1.93083,154.79,0.075399,0.012039,0.063360,0.011979
1.93103,154.81,0.075433,0.012062,0.063370,0.012002
1.93123,154.82,0.075466,0.012085,0.063381,0.012025
1.93143,154.84,0.075500,0.012108,0.063392,0.012048
1.93163,154.86,0.075534,0.012131,0.063403,0.012071
1.93183,154.87,0.075568,0.012155,0.063413,0.012094
1.93203,154.89,0.075602,0.012178,0.063424,0.012117
1.93223,154.90,0.075636,0.012201,0.063435,0.012140
1.93243,154.92,0.075670,0.012224,0.063446,0.012164
1.93263,154.94,0.075704,0.012248,0.063457,0.012187
1.93283,154.95,0.075739,0.012271,0.063467,0.012211
1.93303,154.97,0.075773,0.012295,0.063478,0.012234
1.93323,154.98,0.075808,0.012319,0.063489,0.012258
1.93343,155.00,0.075842,0.012342,0.063500,0.012282
1.93363,155.02,0.075877,0.012366,0.063510,0.012305
1.93383,155.03,0.075911,0.012390,0.063521,0.012329
1.93403,155.05,0.075946,0.012414,0.063532,0.012353
1.93423,155.06,0.075981,0.012438,0.063543,0.012377
1.93443,155.08,0.076016,0.012462,0.063554,0.012401
1.93463,155.10,0.076050,0.012486,0.063564,0.012425
1.93483,155.11,0.076085,0.012510,0.063575,0.012449
1.93503,155.13,0.076121,0.012535,0.063586,0.012474
1.93523,155.14,0.076156,0.012559,0.063597,0.012498
1.93543,155.16,0.076191,0.012583,0.063608,0.012522
1.93563,155.18,0.076226,0.012608,0.063618,0.012547
1.93583,155.19,0.076262,0.012632,0.063629,0.012571
1.93603,155.21,0.076297,0.012657,0.063640,0.012596
1.93623,155.22,0.076333,0.012682,0.063651,0.012621
1.93643,155.24,0.076368,0.012706,0.063662,0.012646
1.93663,155.26,0.076404,0.012731,0.063673,0.012670
1.93683,155.27,0.076440,0.012756,0.063683,0.012695
1.93703,155.29,0.076475,0.012781,0.063694,0.012720
1.93723,155.30,0.076511,0.012806,0.063705,0.012745
1.93743,155.32,0.076547,0.012831,0.063716,0.012770
1.93763,155.34,0.076583,0.012857,0.063727,0.012796
1.93783,155.35,0.076619,0.012882,0.063738,0.012821
1.93803,155.37,0.076656,0.012907,0.063748,0.012846
1.93823,155.38,0.076692,0.012933,0.063759,0.012872
1.93843,155.40,0.076728,0.012958,0.063770,0.012897
1.93863,155.42,0.076765,0.012984,0.063781,0.012923
1.93883,155.43,0.076801,0.013009,0.063792,0.012948
1.93903,155.45,0.076838,0.013035,0.063803,0.012974
1.93923,155.46,0.076874,0.013061,0.063814,0.013000
1.93943,155.48,0.076911,0.013087,0.063824,0.013026
1.93963,155.50,0.076948,0.013113,0.063835,0.013052
1.93983,155.51,0.076985,0.013139,0.063846,0.013078
1.94003,155.53,0.077022,0.013165,0.063857,0.013104
1.94023,155.54,0.077059,0.013191,0.063868,0.013130
1.94043,155.56,0.077096,0.013217,0.063879,0.013156
1.94063,155.58,0.077133,0.013244,0.063890,0.013183
1.94083,155.59,0.077171,0.013270,0.063901,0.013209
1.94103,155.61,0.077208,0.013297,0.063911,0.013236
1.94123,155.62,0.077246,0.013323,0.063922,0.013262
1.94143,155.64,0.077283,0.013350,0.063933,0.013289
1.94163,155.66,0.077321,0.013377,0.063944,0.013316
1.94183,155.67,0.077359,0.013404,0.063955,0.013343
1.94203,155.69,0.077397,0.013431,0.063966,0.013369
1.94223,155.70,0.077434,0.013458,0.063977,0.013396
1.94243,155.72,0.077472,0.013485,0.063988,0.013424
1.94263,155.74,0.077510,0.013512,0.063999,0.013451
1.94283,155.75,0.077549,0.013539,0.064010,0.013478
1.94303,155.77,0.077587,0.013566,0.064020,0.013505
1.94323,155.79,0.077625,0.013594,0.064031,0.013533
1.94343,155.80,0.077664,0.013621,0.064042,0.013560
1.94363,155.82,0.077702,0.013649,0.064053,0.013588
1.94383,155.83,0.077741,0.013677,0.064064,0.013615
1.94403,155.85,0.077779,0.013704,0.064075,0.013643
1.94423,155.87,0.077818,0.013732,0.064086,0.013671
1.94443,155.88,0.077857,0.013760,0.064097,0.013699
1.94463,155.90,0.077896,0.013788,0.064108,0.013727
1.94483,155.91,0.077935,0.013816,0.064119,0.013755
1.94503,155.93,0.077974,0.013844,0.064130,0.013783
1.94523,155.95,0.078013,0.013873,0.064141,0.013811
1.94543,155.96,0.078053,0.013901,0.064152,0.013840
1.94563,155.98,0.078092,0.013929,0.064163,0.013868
1.94583,155.99,0.078132,0.013958,0.064174,0.013897
1.94603,156.01,0.078171,0.013987,0.064184,0.013925
1.94623,156.03,0.078211,0.014015,0.064195,0.013954
1.94643,156.04,0.078251,0.014044,0.064206,0.013983
1.94663,156.06,0.078290,0.014073,0.064217,0.014012
1.94683,156.07,0.078330,0.014102,0.064228,0.014041
1.94703,156.09,0.078370,0.014131,0.064239,0.014070
1.94723,156.11,0.078410,0.014160,0.064250,0.014099
