ppm,hz,total_with_exchange,total_carbon_bound,EGDA O-CH2,exchangeable pool (H2O/OH/COOH)
3.40006,272.58,0.439009,0.000731,0.000400,0.438278
3.40046,272.61,0.439393,0.000731,0.000401,0.438662
3.40086,272.64,0.439778,0.000731,0.000401,0.439047
3.40126,272.67,0.440163,0.000732,0.000401,0.439431
3.40166,272.70,0.440548,0.000732,0.000402,0.439817
3.40206,272.74,0.440934,0.000732,0.000402,0.440203
3.40246,272.77,0.441321,0.000732,0.000403,0.440589
3.40286,272.80,0.441708,0.000732,0.000403,0.440976
3.40326,272.83,0.442095,0.000732,0.000403,0.441363
3.40366,272.86,0.442483,0.000732,0.000404,0.441751
3.40406,272.90,0.442872,0.000733,0.000404,0.442139
3.40446,272.93,0.443261,0.000733,0.000404,0.442528
3.40486,272.96,0.443651,0.000733,0.000405,0.442918
3.40526,272.99,0.444041,0.000733,0.000405,0.443308
3.40566,273.02,0.444431,0.000733,0.000405,0.443698
3.40606,273.06,0.444822,0.000733,0.000406,0.444089
3.40646,273.09,0.445214,0.000733,0.000406,0.444480
3.40686,273.12,0.445606,0.000734,0.000406,0.444872
3.40726,273.15,0.445998,0.000734,0.000407,0.445265
3.40766,273.19,0.446391,0.000734,0.000407,0.445658
3.40806,273.22,0.446785,0.000734,0.000407,0.446051
3.40846,273.25,0.447179,0.000734,0.000408,0.446445
3.40886,273.28,0.447574,0.000734,0.000408,0.446839
3.40926,273.31,0.447969,0.000734,0.000408,0.447234
3.40966,273.35,0.448365,0.000735,0.000409,0.447630
3.41006,273.38,0.448761,0.000735,0.000409,0.448026
3.41046,273.41,0.449157,0.000735,0.000410,0.448423
3.41086,273.44,0.449555,0.000735,0.000410,0.448820
3.41126,273.47,0.449952,0.000735,0.000410,0.449217
3.41166,273.51,0.450351,0.000735,0.000411,0.449615
3.41206,273.54,0.450749,0.000735,0.000411,0.450014
3.41246,273.57,0.451149,0.000736,0.000411,0.450413
3.41286,273.60,0.451548,0.000736,0.000412,0.450813
3.41326,273.63,0.451949,0.000736,0.000412,0.451213
3.41366,273.67,0.452350,0.000736,0.000412,0.451614
3.41406,273.70,0.452751,0.000736,0.000413,0.452015
3.41446,273.73,0.453153,0.000736,0.000413,0.452417
3.41486,273.76,0.453555,0.000737,0.000413,0.452819
3.41526,273.79,0.453958,0.000737,0.000414,0.453222
3.41566,273.83,0.454362,0.000737,0.000414,0.453625
3.41606,273.86,0.454766,0.000737,0.000415,0.454029
3.41646,273.89,0.455171,0.000737,0.000415,0.454433
3.41686,273.92,0.455576,0.000737,0.000415,0.454838
3.41726,273.95,0.455981,0.000737,0.000416,0.455244
3.41766,273.99,0.456388,0.000738,0.000416,0.455650
3.41806,274.02,0.456794,0.000738,0.000416,0.456056
3.41846,274.05,0.457201,0.000738,0.000417,0.456463
3.41886,274.08,0.457609,0.000738,0.000417,0.456871
3.41926,274.11,0.458018,0.000738,0.000417,0.457279
3.41966,274.15,0.458426,0.000738,0.000418,0.457688
3.42006,274.18,0.458836,0.000739,0.000418,0.458097
3.42046,274.21,0.459246,0.000739,0.000419,0.458507
3.42086,274.24,0.459656,0.000739,0.000419,0.458917
3.42126,274.28,0.460067,0.000739,0.000419,0.459328
3.42166,274.31,0.460479,0.000739,0.000420,0.459740
3.42206,274.34,0.460891,0.000739,0.000420,0.460152
3.42246,274.37,0.461304,0.000740,0.000420,0.460564
3.42286,274.40,0.461717,0.000740,0.000421,0.460977
3.42326,274.44,0.462131,0.000740,0.000421,0.461391
