ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),AcOH CH3
1.90003,152.32,0.074152,0.016283,0.057869,0.016170
1.90023,152.34,0.074197,0.016319,0.057878,0.016206
1.90043,152.35,0.074243,0.016355,0.057888,0.016242
1.90063,152.37,0.074288,0.016391,0.057897,0.016278
1.90083,152.39,0.074334,0.016427,0.057907,0.016314
1.90103,152.40,0.074380,0.016464,0.057916,0.016351
1.90123,152.42,0.074426,0.016500,0.057925,0.016387
1.90143,152.43,0.074472,0.016537,0.057935,0.016424
1.90163,152.45,0.074518,0.016574,0.057944,0.016461
1.90183,152.47,0.074564,0.016611,0.057954,0.016497
1.90203,152.48,0.074611,0.016648,0.057963,0.016534
1.90223,152.50,0.074657,0.016685,0.057972,0.016572
1.90243,152.51,0.074704,0.016722,0.057982,0.016609
1.90263,152.53,0.074751,0.016759,0.057991,0.016646
1.90283,152.55,0.074798,0.016797,0.058001,0.016684
1.90303,152.56,0.074845,0.016835,0.058010,0.016721
1.90323,152.58,0.074892,0.016872,0.058019,0.016759
1.90343,152.59,0.074939,0.016910,0.058029,0.016797
1.90363,152.61,0.074987,0.016948,0.058038,0.016835
1.90383,152.63,0.075034,0.016987,0.058048,0.016873
1.90403,152.64,0.075082,0.017025,0.058057,0.016911
1.90423,152.66,0.075130,0.017063,0.058067,0.016950
1.90443,152.67,0.075178,0.017102,0.058076,0.016988
1.90463,152.69,0.075226,0.017141,0.058085,0.017027
1.90483,152.71,0.075274,0.017179,0.058095,0.017066
1.90503,152.72,0.075323,0.017218,0.058104,0.017105
1.90523,152.74,0.075371,0.017257,0.058114,0.017144
1.90543,152.75,0.075420,0.017297,0.058123,0.017183
1.90563,152.77,0.075469,0.017336,0.058133,0.017222
1.90583,152.79,0.075518,0.017375,0.058142,0.017262
1.90603,152.80,0.075567,0.017415,0.058152,0.017301
1.90623,152.82,0.075616,0.017455,0.058161,0.017341
1.90643,152.83,0.075665,0.017495,0.058170,0.017381
1.90663,152.85,0.075715,0.017535,0.058180,0.017421
1.90683,152.87,0.075764,0.017575,0.058189,0.017461
1.90703,152.88,0.075814,0.017615,0.058199,0.017501
1.90723,152.90,0.075864,0.017656,0.058208,0.017542
1.90743,152.91,0.075914,0.017696,0.058218,0.017582
1.90763,152.93,0.075964,0.017737,0.058227,0.017623
1.90783,152.95,0.076015,0.017778,0.058237,0.017664
1.90803,152.96,0.076065,0.017819,0.058246,0.017705
1.90823,152.98,0.076116,0.017860,0.058256,0.017746
