ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),EG O-CH2
3.40006,272.58,0.377045,0.005476,0.371569,0.005174
3.40046,272.61,0.377361,0.005492,0.371870,0.005190
3.40086,272.64,0.377678,0.005507,0.372171,0.005206
3.40126,272.67,0.377995,0.005523,0.372472,0.005222
3.40166,272.70,0.378313,0.005539,0.372774,0.005239
3.40206,272.74,0.378631,0.005555,0.373076,0.005255
3.40246,272.77,0.378950,0.005571,0.373378,0.005271
3.40286,272.80,0.379269,0.005588,0.373681,0.005288
3.40326,272.83,0.379588,0.005604,0.373985,0.005304
3.40366,272.86,0.379908,0.005620,0.374288,0.005321
3.40406,272.90,0.380229,0.005637,0.374592,0.005337
3.40446,272.93,0.380550,0.005653,0.374896,0.005354
3.40486,272.96,0.380871,0.005670,0.375201,0.005371
3.40526,272.99,0.381193,0.005687,0.375506,0.005388
3.40566,273.02,0.381515,0.005703,0.375811,0.005404
3.40606,273.06,0.381837,0.005720,0.376117,0.005421
3.40646,273.09,0.382160,0.005737,0.376423,0.005439
3.40686,273.12,0.382484,0.005754,0.376730,0.005456
3.40726,273.15,0.382808,0.005771,0.377037,0.005473
3.40766,273.19,0.383132,0.005788,0.377344,0.005490
3.40806,273.22,0.383457,0.005806,0.377652,0.005508
3.40846,273.25,0.383783,0.005823,0.377960,0.005525
3.40886,273.28,0.384108,0.005840,0.378268,0.005543
3.40926,273.31,0.384435,0.005858,0.378577,0.005561
3.40966,273.35,0.384761,0.005875,0.378886,0.005578
3.41006,273.38,0.385088,0.005893,0.379195,0.005596
3.41046,273.41,0.385416,0.005911,0.379505,0.005614
3.41086,273.44,0.385744,0.005929,0.379815,0.005632
3.41126,273.47,0.386073,0.005947,0.380126,0.005650
3.41166,273.51,0.386402,0.005965,0.380437,0.005668
3.41206,273.54,0.386731,0.005983,0.380748,0.005687
3.41246,273.57,0.387061,0.006001,0.381060,0.005705
3.41286,273.60,0.387391,0.006019,0.381372,0.005723
3.41326,273.63,0.387722,0.006037,0.381685,0.005742
3.41366,273.67,0.388054,0.006056,0.381998,0.005761
3.41406,273.70,0.388385,0.006074,0.382311,0.005779
3.41446,273.73,0.388718,0.006093,0.382625,0.005798
3.41486,273.76,0.389050,0.006112,0.382939,0.005817
3.41526,273.79,0.389384,0.006131,0.383253,0.005836
3.41566,273.83,0.389717,0.006150,0.383568,0.005855
3.41606,273.86,0.390052,0.006169,0.383883,0.005874
3.41646,273.89,0.390386,0.006188,0.384199,0.005894
3.41686,273.92,0.390721,0.006207,0.384514,0.005913
3.41726,273.95,0.391057,0.006226,0.384831,0.005933
3.41766,273.99,0.391393,0.006246,0.385147,0.005952
3.41806,274.02,0.391730,0.006265,0.385465,0.005972
3.41846,274.05,0.392067,0.006285,0.385782,0.005992
3.41886,274.08,0.392404,0.006304,0.386100,0.006011
3.41926,274.11,0.392742,0.006324,0.386418,0.006031
3.41966,274.15,0.393081,0.006344,0.386737,0.006051
3.42006,274.18,0.393420,0.006364,0.387056,0.006072
3.42046,274.21,0.393759,0.006384,0.387375,0.006092
3.42086,274.24,0.394099,0.006404,0.387695,0.006112
3.42126,274.28,0.394440,0.006425,0.388015,0.006133
3.42166,274.31,0.394781,0.006445,0.388336,0.006153
3.42206,274.34,0.395122,0.006466,0.388657,0.006174
3.42246,274.37,0.395464,0.006486,0.388978,0.006195
3.42286,274.40,0.395807,0.006507,0.389300,0.006216
3.42326,274.44,0.396150,0.006528,0.389622,0.006237
3.42366,274.47,0.396493,0.006549,0.389945,0.006258
3.42406,274.50,0.396837,0.006570,0.390268,0.006279
3.42446,274.53,0.397182,0.006591,0.390591,0.006300
3.42486,274.56,0.397527,0.006612,0.390915,0.006322
3.42526,274.60,0.397872,0.006633,0.391239,0.006343
3.42566,274.63,0.398218,0.006655,0.391563,0.006365
3.42606,274.66,0.398565,0.006676,0.391888,0.006387
3.42646,274.69,0.398912,0.006698,0.392214,0.006408
3.42686,274.72,0.399259,0.006720,0.392539,0.006430
3.42726,274.76,0.399607,0.006742,0.392866,0.006452
3.42766,274.79,0.399956,0.006764,0.393192,0.006475
3.42806,274.82,0.400305,0.006786,0.393519,0.006497
3.42846,274.85,0.400655,0.006808,0.393846,0.006519
3.42886,274.88,0.401005,0.006831,0.394174,0.006542
3.42926,274.92,0.401355,0.006853,0.394502,0.006565
3.42966,274.95,0.401707,0.006876,0.394831,0.006587
3.43006,274.98,0.402058,0.006898,0.395160,0.006610
3.43046,275.01,0.402410,0.006921,0.395489,0.006633
3.43086,275.04,0.402763,0.006944,0.395819,0.006656
3.43126,275.08,0.403116,0.006967,0.396149,0.006680
3.43166,275.11,0.403470,0.006991,0.396480,0.006703
3.43206,275.14,0.403825,0.007014,0.396811,0.006727
3.43246,275.17,0.404179,0.007037,0.397142,0.006750
3.43286,275.21,0.404535,0.007061,0.397474,0.006774
3.43326,275.24,0.404891,0.007085,0.397806,0.006798
3.43366,275.27,0.405247,0.007108,0.398139,0.006822
3.43406,275.30,0.405604,0.007132,0.398472,0.006846
3.43446,275.33,0.405962,0.007157,0.398805,0.006870
3.43486,275.37,0.406320,0.007181,0.399139,0.006895
3.43526,275.40,0.406679,0.007205,0.399473,0.006919
3.43566,275.43,0.407038,0.007230,0.399808,0.006944
3.43606,275.46,0.407398,0.007254,0.400143,0.006969
3.43646,275.49,0.407758,0.007279,0.400479,0.006994
3.43686,275.53,0.408119,0.007304,0.400815,0.007019
3.43726,275.56,0.408480,0.007329,0.401151,0.007044
3.43766,275.59,0.408842,0.007354,0.401488,0.007069
3.43806,275.62,0.409204,0.007379,0.401825,0.007095
3.43846,275.65,0.409567,0.007405,0.402163,0.007120
3.43886,275.69,0.409931,0.007430,0.402501,0.007146
3.43926,275.72,0.410295,0.007456,0.402839,0.007172
3.43966,275.75,0.410660,0.007482,0.403178,0.007198
3.44006,275.78,0.411025,0.007508,0.403517,0.007224
3.44046,275.81,0.411391,0.007534,0.403857,0.007250
3.44086,275.85,0.411758,0.007560,0.404197,0.007277
3.44126,275.88,0.412125,0.007587,0.404538,0.007303
3.44166,275.91,0.412492,0.007613,0.404879,0.007330
3.44206,275.94,0.412860,0.007640,0.405220,0.007357
3.44246,275.97,0.413229,0.007667,0.405562,0.007384
3.44286,276.01,0.413598,0.007694,0.405904,0.007411
3.44326,276.04,0.413968,0.007721,0.406247,0.007438
3.44366,276.07,0.414339,0.007748,0.406590,0.007466
3.44406,276.10,0.414710,0.007776,0.406934,0.007494
3.44446,276.14,0.415081,0.007803,0.407278,0.007521
3.44486,276.17,0.415453,0.007831,0.407622,0.007549
3.44526,276.20,0.415826,0.007859,0.407967,0.007577
3.44566,276.23,0.416200,0.007887,0.408312,0.007606
3.44606,276.26,0.416574,0.007915,0.408658,0.007634
3.44646,276.30,0.416948,0.007944,0.409004,0.007663
3.44686,276.33,0.417323,0.007972,0.409351,0.007691
3.44726,276.36,0.417699,0.008001,0.409698,0.007720
3.44766,276.39,0.418075,0.008030,0.410045,0.007749
3.44806,276.42,0.418452,0.008059,0.410393,0.007779
3.44846,276.46,0.418830,0.008088,0.410741,0.007808
3.44886,276.49,0.419208,0.008118,0.411090,0.007837
3.44926,276.52,0.419587,0.008147,0.411439,0.007867
3.44966,276.55,0.419966,0.008177,0.411789,0.007897
3.45006,276.58,0.420346,0.008207,0.412139,0.007927
3.45046,276.62,0.420727,0.008237,0.412490,0.007957
