ppm,hz,total_with_exchange,total_carbon_bound,EGDA O-CH2,exchangeable pool (H2O/OH/COOH),EGMA CH2-OC(O),EGMA CH2-OH,EG O-CH2
3.40006,272.58,0.405349,0.002460,0.000100,0.402889,0.000123,0.000628,0.001294
3.40046,272.61,0.405694,0.002465,0.000100,0.403228,0.000124,0.000630,0.001298
3.40086,272.64,0.406038,0.002470,0.000100,0.403568,0.000124,0.000631,0.001302
3.40126,272.67,0.406383,0.002476,0.000100,0.403908,0.000124,0.000633,0.001306
3.40166,272.70,0.406729,0.002481,0.000100,0.404248,0.000124,0.000634,0.001310
3.40206,272.74,0.407075,0.002487,0.000101,0.404588,0.000124,0.000635,0.001314
3.40246,272.77,0.407422,0.002492,0.000101,0.404929,0.000124,0.000637,0.001318
3.40286,272.80,0.407769,0.002498,0.000101,0.405271,0.000124,0.000638,0.001322
3.40326,272.83,0.408116,0.002503,0.000101,0.405613,0.000124,0.000640,0.001326
3.40366,272.86,0.408464,0.002509,0.000101,0.405955,0.000125,0.000641,0.001330
3.40406,272.90,0.408812,0.002514,0.000101,0.406298,0.000125,0.000642,0.001334
3.40446,272.93,0.409161,0.002520,0.000101,0.406641,0.000125,0.000644,0.001338
3.40486,272.96,0.409511,0.002526,0.000101,0.406985,0.000125,0.000645,0.001343
3.40526,272.99,0.409860,0.002531,0.000101,0.407329,0.000125,0.000647,0.001347
3.40566,273.02,0.410210,0.002537,0.000101,0.407673,0.000125,0.000648,0.001351
3.40606,273.06,0.410561,0.002543,0.000101,0.408018,0.000125,0.000650,0.001355
3.40646,273.09,0.410912,0.002548,0.000102,0.408364,0.000125,0.000651,0.001360
3.40686,273.12,0.411264,0.002554,0.000102,0.408709,0.000125,0.000652,0.001364
3.40726,273.15,0.411616,0.002560,0.000102,0.409056,0.000126,0.000654,0.001368
3.40766,273.19,0.411968,0.002566,0.000102,0.409402,0.000126,0.000655,0.001373
3.40806,273.22,0.412321,0.002572,0.000102,0.409749,0.000126,0.000657,0.001377
3.40846,273.25,0.412674,0.002578,0.000102,0.410097,0.000126,0.000658,0.001381
3.40886,273.28,0.413028,0.002583,0.000102,0.410445,0.000126,0.000660,0.001386
3.40926,273.31,0.413383,0.002589,0.000102,0.410793,0.000126,0.000661,0.001390
3.40966,273.35,0.413737,0.002595,0.000102,0.411142,0.000126,0.000663,0.001395
3.41006,273.38,0.414093,0.002601,0.000102,0.411491,0.000126,0.000664,0.001399
3.41046,273.41,0.414448,0.002607,0.000102,0.411841,0.000127,0.000666,0.001404
3.41086,273.44,0.414804,0.002613,0.000102,0.412191,0.000127,0.000667,0.001408
3.41126,273.47,0.415161,0.002619,0.000103,0.412542,0.000127,0.000669,0.001413
3.41166,273.51,0.415518,0.002625,0.000103,0.412893,0.000127,0.000670,0.001417
3.41206,273.54,0.415876,0.002632,0.000103,0.413244,0.000127,0.000672,0.001422
3.41246,273.57,0.416234,0.002638,0.000103,0.413596,0.000127,0.000673,0.001426
3.41286,273.60,0.416592,0.002644,0.000103,0.413948,0.000127,0.000675,0.001431
3.41326,273.63,0.416951,0.002650,0.000103,0.414301,0.000127,0.000676,0.001436
3.41366,273.67,0.417311,0.002656,0.000103,0.414654,0.000128,0.000678,0.001440
3.41406,273.70,0.417671,0.002662,0.000103,0.415008,0.000128,0.000679,0.001445
3.41446,273.73,0.418031,0.002669,0.000103,0.415362,0.000128,0.000681,0.001450
3.41486,273.76,0.418392,0.002675,0.000103,0.415717,0.000128,0.000682,0.001454
3.41526,273.79,0.418753,0.002681,0.000103,0.416072,0.000128,0.000684,0.001459
3.41566,273.83,0.419115,0.002688,0.000104,0.416427,0.000128,0.000686,0.001464
3.41606,273.86,0.419477,0.002694,0.000104,0.416783,0.000128,0.000687,0.001469
3.41646,273.89,0.419840,0.002701,0.000104,0.417140,0.000128,0.000689,0.001473
3.41686,273.92,0.420203,0.002707,0.000104,0.417496,0.000129,0.000690,0.001478
3.41726,273.95,0.420567,0.002714,0.000104,0.417854,0.000129,0.000692,0.001483
3.41766,273.99,0.420931,0.002720,0.000104,0.418211,0.000129,0.000693,0.001488
3.41806,274.02,0.421296,0.002727,0.000104,0.418570,0.000129,0.000695,0.001493
3.41846,274.05,0.421661,0.002733,0.000104,0.418928,0.000129,0.000697,0.001498
3.41886,274.08,0.422027,0.002740,0.000104,0.419287,0.000129,0.000698,0.001503
3.41926,274.11,0.422393,0.002746,0.000104,0.419647,0.000129,0.000700,0.001508
3.41966,274.15,0.422760,0.002753,0.000104,0.420007,0.000129,0.000702,0.001513
3.42006,274.18,0.423127,0.002760,0.000105,0.420367,0.000130,0.000703,0.001518
3.42046,274.21,0.423495,0.002766,0.000105,0.420728,0.000130,0.000705,0.001523
3.42086,274.24,0.423863,0.002773,0.000105,0.421090,0.000130,0.000706,0.001528
