ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),EGDA CH3,EGMA CH3,AcOH CH3
1.90003,152.32,0.073922,0.015683,0.058239,0.000091,0.000932,0.014553
1.90023,152.34,0.073966,0.015717,0.058249,0.000091,0.000934,0.014585
1.90043,152.35,0.074010,0.015751,0.058258,0.000091,0.000936,0.014618
1.90063,152.37,0.074053,0.015786,0.058268,0.000092,0.000937,0.014650
1.90083,152.39,0.074097,0.015820,0.058277,0.000092,0.000939,0.014683
1.90103,152.40,0.074141,0.015855,0.058287,0.000092,0.000941,0.014716
1.90123,152.42,0.074186,0.015890,0.058296,0.000092,0.000942,0.014748
1.90143,152.43,0.074230,0.015924,0.058306,0.000092,0.000944,0.014781
1.90163,152.45,0.074274,0.015959,0.058315,0.000092,0.000946,0.014814
1.90183,152.47,0.074319,0.015994,0.058325,0.000092,0.000947,0.014848
1.90203,152.48,0.074364,0.016030,0.058334,0.000093,0.000949,0.014881
1.90223,152.50,0.074408,0.016065,0.058344,0.000093,0.000951,0.014914
1.90243,152.51,0.074453,0.016100,0.058353,0.000093,0.000952,0.014948
1.90263,152.53,0.074498,0.016136,0.058363,0.000093,0.000954,0.014982
1.90283,152.55,0.074543,0.016171,0.058372,0.000093,0.000956,0.015015
1.90303,152.56,0.074589,0.016207,0.058382,0.000093,0.000958,0.015049
1.90323,152.58,0.074634,0.016243,0.058391,0.000094,0.000959,0.015083
1.90343,152.59,0.074680,0.016279,0.058401,0.000094,0.000961,0.015117
1.90363,152.61,0.074725,0.016315,0.058410,0.000094,0.000963,0.015151
1.90383,152.63,0.074771,0.016351,0.058420,0.000094,0.000964,0.015186
1.90403,152.64,0.074817,0.016388,0.058429,0.000094,0.000966,0.015220
1.90423,152.66,0.074863,0.016424,0.058439,0.000094,0.000968,0.015255
1.90443,152.67,0.074909,0.016461,0.058448,0.000094,0.000970,0.015289
1.90463,152.69,0.074955,0.016498,0.058458,0.000095,0.000971,0.015324
1.90483,152.71,0.075002,0.016535,0.058467,0.000095,0.000973,0.015359
1.90503,152.72,0.075048,0.016572,0.058477,0.000095,0.000975,0.015394
1.90523,152.74,0.075095,0.016609,0.058486,0.000095,0.000977,0.015429
1.90543,152.75,0.075142,0.016646,0.058496,0.000095,0.000979,0.015465
1.90563,152.77,0.075189,0.016683,0.058505,0.000095,0.000980,0.015500
1.90583,152.79,0.075236,0.016721,0.058515,0.000096,0.000982,0.015535
1.90603,152.80,0.075283,0.016758,0.058524,0.000096,0.000984,0.015571
1.90623,152.82,0.075330,0.016796,0.058534,0.000096,0.000986,0.015607
1.90643,152.83,0.075377,0.016834,0.058544,0.000096,0.000988,0.015643
1.90663,152.85,0.075425,0.016872,0.058553,0.000096,0.000989,0.015679
1.90683,152.87,0.075473,0.016910,0.058563,0.000096,0.000991,0.015715
1.90703,152.88,0.075521,0.016948,0.058572,0.000097,0.000993,0.015751
1.90723,152.90,0.075568,0.016987,0.058582,0.000097,0.000995,0.015788
1.90743,152.91,0.075617,0.017025,0.058591,0.000097,0.000997,0.015824
1.90763,152.93,0.075665,0.017064,0.058601,0.000097,0.000998,0.015861
1.90783,152.95,0.075713,0.017103,0.058610,0.000097,0.001000,0.015897
1.90803,152.96,0.075762,0.017142,0.058620,0.000097,0.001002,0.015934
1.90823,152.98,0.075810,0.017181,0.058630,0.000098,0.001004,0.015971
1.90843,153.00,0.075859,0.017220,0.058639,0.000098,0.001006,0.016009
1.90863,153.01,0.075908,0.017259,0.058649,0.000098,0.001008,0.016046
1.90883,153.03,0.075957,0.017299,0.058658,0.000098,0.001010,0.016083
1.90903,153.04,0.076006,0.017338,0.058668,0.000098,0.001011,0.016121
1.90923,153.06,0.076055,0.017378,0.058677,0.000098,0.001013,0.016158
1.90943,153.08,0.076105,0.017418,0.058687,0.000099,0.001015,0.016196
1.90963,153.09,0.076155,0.017458,0.058697,0.000099,0.001017,0.016234
1.90983,153.11,0.076204,0.017498,0.058706,0.000099,0.001019,0.016272
1.91003,153.12,0.076254,0.017538,0.058716,0.000099,0.001021,0.016310
1.91023,153.14,0.076304,0.017579,0.058725,0.000099,0.001023,0.016349
1.91043,153.16,0.076354,0.017619,0.058735,0.000099,0.001025,0.016387
1.91063,153.17,0.076405,0.017660,0.058745,0.000100,0.001027,0.016426
1.91083,153.19,0.076455,0.017701,0.058754,0.000100,0.001028,0.016465
1.91103,153.20,0.076506,0.017742,0.058764,0.000100,0.001030,0.016503
1.91123,153.22,0.076556,0.017783,0.058773,0.000100,0.001032,0.016542
1.91143,153.24,0.076607,0.017824,0.058783,0.000100,0.001034,0.016582
1.91163,153.25,0.076658,0.017866,0.058793,0.000101,0.001036,0.016621
1.91183,153.27,0.076710,0.017907,0.058802,0.000101,0.001038,0.016660
1.91203,153.28,0.076761,0.017949,0.058812,0.000101,0.001040,0.016700
1.91223,153.30,0.076812,0.017991,0.058821,0.000101,0.001042,0.016740
1.91243,153.32,0.076864,0.018033,0.058831,0.000101,0.001044,0.016780
1.91263,153.33,0.076916,0.018075,0.058841,0.000101,0.001046,0.016820
1.91283,153.35,0.076968,0.018117,0.058850,0.000102,0.001048,0.016860
1.91303,153.36,0.077020,0.018160,0.058860,0.000102,0.001050,0.016900
1.91323,153.38,0.077072,0.018203,0.058870,0.000102,0.001052,0.016940
1.91343,153.40,0.077124,0.018245,0.058879,0.000102,0.001054,0.016981
1.91363,153.41,0.077177,0.018288,0.058889,0.000102,0.001056,0.017022
1.91383,153.43,0.077230,0.018331,0.058898,0.000102,0.001058,0.017063
1.91403,153.44,0.077283,0.018375,0.058908,0.000103,0.001060,0.017104
1.91423,153.46,0.077336,0.018418,0.058918,0.000103,0.001062,0.017145
