ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),EGDA O-CH2,EGMA CH2-OC(O),EGMA CH2-OH,EG O-CH2
3.40006,272.58,0.382307,0.004770,0.377538,0.000004,0.000044,0.000226,0.004191
3.40046,272.61,0.382628,0.004783,0.377846,0.000004,0.000044,0.000227,0.004204
3.40086,272.64,0.382950,0.004796,0.378154,0.000004,0.000045,0.000227,0.004217
3.40126,272.67,0.383272,0.004810,0.378462,0.000004,0.000045,0.000228,0.004230
3.40166,272.70,0.383594,0.004823,0.378771,0.000004,0.000045,0.000228,0.004243
3.40206,272.74,0.383917,0.004837,0.379081,0.000004,0.000045,0.000229,0.004256
3.40246,272.77,0.384241,0.004850,0.379390,0.000004,0.000045,0.000229,0.004270
3.40286,272.80,0.384564,0.004864,0.379701,0.000004,0.000045,0.000230,0.004283
3.40326,272.83,0.384888,0.004877,0.380011,0.000004,0.000045,0.000230,0.004296
3.40366,272.86,0.385213,0.004891,0.380322,0.000004,0.000045,0.000231,0.004310
3.40406,272.90,0.385538,0.004905,0.380633,0.000004,0.000045,0.000231,0.004323
3.40446,272.93,0.385864,0.004919,0.380945,0.000004,0.000045,0.000232,0.004337
3.40486,272.96,0.386190,0.004933,0.381257,0.000004,0.000045,0.000232,0.004350
3.40526,272.99,0.386516,0.004947,0.381569,0.000004,0.000045,0.000233,0.004364
3.40566,273.02,0.386843,0.004961,0.381882,0.000004,0.000045,0.000233,0.004378
3.40606,273.06,0.387170,0.004975,0.382195,0.000004,0.000045,0.000234,0.004391
3.40646,273.09,0.387498,0.004989,0.382508,0.000004,0.000045,0.000234,0.004405
3.40686,273.12,0.387826,0.005004,0.382822,0.000004,0.000045,0.000235,0.004419
3.40726,273.15,0.388155,0.005018,0.383137,0.000004,0.000045,0.000235,0.004433
3.40766,273.19,0.388484,0.005033,0.383451,0.000004,0.000045,0.000236,0.004447
3.40806,273.22,0.388813,0.005047,0.383766,0.000004,0.000045,0.000236,0.004461
3.40846,273.25,0.389143,0.005062,0.384082,0.000004,0.000045,0.000237,0.004475
3.40886,273.28,0.389474,0.005076,0.384397,0.000004,0.000045,0.000238,0.004490
3.40926,273.31,0.389805,0.005091,0.384714,0.000004,0.000045,0.000238,0.004504
3.40966,273.35,0.390136,0.005106,0.385030,0.000004,0.000045,0.000239,0.004518
3.41006,273.38,0.390468,0.005121,0.385347,0.000004,0.000046,0.000239,0.004533
3.41046,273.41,0.390800,0.005136,0.385664,0.000004,0.000046,0.000240,0.004547
3.41086,273.44,0.391133,0.005151,0.385982,0.000004,0.000046,0.000240,0.004562
3.41126,273.47,0.391466,0.005166,0.386300,0.000004,0.000046,0.000241,0.004577
3.41166,273.51,0.391800,0.005181,0.386619,0.000004,0.000046,0.000241,0.004591
3.41206,273.54,0.392134,0.005196,0.386938,0.000004,0.000046,0.000242,0.004606
3.41246,273.57,0.392468,0.005211,0.387257,0.000004,0.000046,0.000242,0.004621
3.41286,273.60,0.392803,0.005227,0.387577,0.000004,0.000046,0.000243,0.004636
3.41326,273.63,0.393139,0.005242,0.387897,0.000004,0.000046,0.000243,0.004651
3.41366,273.67,0.393475,0.005258,0.388217,0.000004,0.000046,0.000244,0.004666
3.41406,273.70,0.393811,0.005273,0.388538,0.000004,0.000046,0.000245,0.004681
3.41446,273.73,0.394148,0.005289,0.388859,0.000004,0.000046,0.000245,0.004697
3.41486,273.76,0.394485,0.005305,0.389181,0.000004,0.000046,0.000246,0.004712
3.41526,273.79,0.394823,0.005320,0.389503,0.000004,0.000046,0.000246,0.004727
3.41566,273.83,0.395162,0.005336,0.389825,0.000004,0.000046,0.000247,0.004743
3.41606,273.86,0.395500,0.005352,0.390148,0.000004,0.000046,0.000247,0.004758
